date,open,high,low,close,adj_close,volume,dividends,stock_splits
2026-03-30,172.50999450683594,176.41000366210938,171.0500030517578,171.47000122070312,170.31399536132812,29813500,0.0,0.0
2026-03-31,172.6699981689453,174.3800048828125,165.97000122070312,169.66000366210938,168.51620483398438,32006700,0.0,0.0
2026-04-01,165.77000427246094,168.0,159.52999877929688,160.77999877929688,159.69607543945312,37927600,0.0,0.0
2026-04-02,164.49000549316406,166.89999389648438,159.58999633789062,160.69000244140625,159.60667419433594,25377700,0.0,0.0
2026-04-06,160.57000732421875,163.75,159.52999877929688,163.3699951171875,162.2686004638672,16344300,0.0,0.0
2026-04-07,164.22000122070312,166.24000549316406,161.77000427246094,163.91000366210938,162.8049774169922,25227500,0.0,0.0
2026-04-08,153.52000427246094,156.35000610351562,150.97999572753906,156.22000122070312,155.16680908203125,31311200,0.0,0.0
2026-04-09,156.86000061035156,159.22999572753906,154.30999755859375,155.0399932861328,153.99476623535156,25868400,0.0,0.0
2026-04-10,154.0399932861328,155.1199951171875,151.9199981689453,152.50999450683594,151.4818115234375,21065000,0.0,0.0
2026-04-13,154.27000427246094,154.6199951171875,151.27999877929688,152.63999938964844,151.61094665527344,18685600,0.0,0.0
2026-04-14,150.07000732421875,150.11000061035156,146.72000122070312,149.24000549316406,148.23387145996094,18528200,0.0,0.0
2026-04-15,148.60000610351562,150.22999572753906,146.89999389648438,149.00999450683594,148.0054168701172,15626500,0.0,0.0
2026-04-16,149.52999877929688,152.77999877929688,149.35000610351562,151.97999572753906,150.9553985595703,15191000,0.0,0.0
2026-04-17,144.86000061035156,146.8000030517578,141.97000122070312,146.44000244140625,145.45274353027344,28947400,0.0,0.0
2026-04-20,147.3800048828125,149.3699951171875,146.35000610351562,147.67999267578125,146.6843719482422,16354400,0.0,0.0
2026-04-21,147.3699951171875,148.80999755859375,146.24000549316406,148.36000061035156,147.35980224609375,17515900,0.0,0.0
2026-04-22,149.3699951171875,150.67999267578125,148.17999267578125,149.5,148.4921112060547,13738700,0.0,0.0
2026-04-23,149.85000610351562,151.22999572753906,148.5,150.52999877929688,149.51516723632812,12970400,0.0,0.0
2026-04-24,149.63999938964844,150.3000030517578,146.9499969482422,148.91000366210938,147.90609741210938,13735900,0.0,0.0
2026-04-27,149.16000366210938,151.17999267578125,147.97000122070312,148.19000244140625,147.19094848632812,13940800,0.0,0.0
2026-04-28,151.52999877929688,152.30999755859375,149.8300018310547,150.55999755859375,149.5449676513672,15173600,0.0,0.0
2026-04-29,152.02000427246094,154.9499969482422,151.00999450683594,154.6699981689453,153.62725830078125,14669100,0.0,0.0
2026-04-30,152.42999267578125,155.69000244140625,151.33999633789062,154.3300018310547,153.28955078125,22885900,0.0,0.0
2026-05-01,152.61000061035156,155.00999450683594,151.1300048828125,152.75,151.72019958496094,15458200,0.0,0.0
2026-05-04,152.6699981689453,154.47000122070312,149.52000427246094,153.69000244140625,152.65386962890625,14238500,0.0,0.0
2026-05-05,153.10000610351562,155.2899932861328,152.41000366210938,154.8800048828125,153.83584594726562,12494600,0.0,0.0
2026-05-06,149.07000732421875,150.3300018310547,147.08999633789062,148.69000244140625,147.6875762939453,20527000,0.0,0.0
2026-05-07,146.8000030517578,147.0800018310547,144.19000244140625,146.5800018310547,145.591796875,22509400,0.0,0.0
2026-05-08,145.85000610351562,146.5,143.9199981689453,144.57000732421875,143.59535217285156,19550100,0.0,0.0
2026-05-11,146.02000427246094,149.72000122070312,146.0,149.67999267578125,148.6708984375,14849500,0.0,0.0
2026-05-12,151.25,151.80999755859375,149.77000427246094,150.6300048828125,149.614501953125,16443100,0.0,0.0
2026-05-13,150.05999755859375,151.7899932861328,149.67999267578125,151.57000732421875,150.5481719970703,15772800,0.0,0.0
2026-05-14,151.89999389648438,153.1199951171875,151.25999450683594,152.77999877929688,151.75,11331500,0.0,0.0
2026-05-15,153.75,158.0,153.0,157.9199981689453,157.9199981689453,27882400,1.03,0.0
2026-05-18,157.32000732421875,161.72999572753906,155.22999572753906,160.49000549316406,160.49000549316406,20065200,0.0,0.0
2026-05-19,161.5,163.32000732421875,159.63999938964844,162.5500030517578,162.5500030517578,20715600,0.0,0.0
2026-05-20,161.61000061035156,163.67999267578125,156.27000427246094,156.27999877929688,156.27999877929688,18509700,0.0,0.0
2026-05-21,158.4199981689453,159.38999938964844,153.4600067138672,155.2899932861328,155.2899932861328,17061700,0.0,0.0
2026-05-22,154.02999877929688,155.5500030517578,153.1699981689453,154.9199981689453,154.9199981689453,12948500,0.0,0.0
2026-05-26,153.5,154.5500030517578,149.47000122070312,149.80999755859375,149.80999755859375,13057800,0.0,0.0
2026-05-27,147.22999572753906,148.69000244140625,145.75,147.89999389648438,147.89999389648438,16241100,0.0,0.0
2026-05-28,149.33999633789062,150.2100067138672,146.8699951171875,146.9600067138672,146.9600067138672,14012500,0.0,0.0
