date,open,high,low,close,adj_close,volume,dividends,stock_splits
2026-03-30,243.49000549316406,244.2100067138672,240.50999450683594,242.49000549316406,241.10340881347656,7241300,0.0,0.0
2026-03-31,243.00999450683594,245.3300018310547,242.64999389648438,244.44000244140625,243.04225158691406,7554200,0.0,0.0
2026-04-01,245.60000610351562,247.1999969482422,243.74000549316406,244.1199951171875,242.7240753173828,6314600,0.0,0.0
2026-04-02,245.11000061035156,247.2100067138672,241.8699951171875,243.0399932861328,241.65025329589844,6878700,0.0,0.0
2026-04-06,242.64999389648438,243.52000427246094,240.5,240.97000122070312,239.5920867919922,4442400,0.0,0.0
2026-04-07,240.77999877929688,240.77999877929688,236.00999450683594,238.41000366210938,237.04673767089844,6241100,0.0,0.0
2026-04-08,236.63999938964844,241.3300018310547,233.89999389648438,241.3000030517578,239.9202117919922,8771100,0.0,0.0
2026-04-09,241.3000030517578,244.1999969482422,240.5399932861328,241.30999755859375,239.93014526367188,6216500,0.0,0.0
2026-04-10,242.0,242.25999450683594,237.91000366210938,238.4600067138672,237.09645080566406,7354500,0.0,0.0
2026-04-13,237.7100067138672,238.38999938964844,235.17999267578125,237.9600067138672,236.59930419921875,7663600,0.0,0.0
2026-04-14,235.00999450683594,242.19000244140625,233.25,240.10000610351562,238.72706604003906,10318700,0.0,0.0
2026-04-15,239.94000244140625,240.4199981689453,236.75,238.6699981689453,237.30523681640625,6463500,0.0,0.0
2026-04-16,237.4199981689453,238.13999938964844,232.1199951171875,234.5399932861328,233.1988525390625,8668900,0.0,0.0
2026-04-17,234.36000061035156,235.5399932861328,232.0399932861328,234.17999267578125,232.84091186523438,8946300,0.0,0.0
2026-04-20,234.80999755859375,235.25999450683594,229.52999877929688,230.69000244140625,229.37088012695312,7810500,0.0,0.0
2026-04-21,229.35000610351562,229.69000244140625,224.6999969482422,226.16000366210938,224.8667755126953,11681200,0.0,0.0
2026-04-22,226.17999267578125,227.47999572753906,223.77999877929688,226.10000610351562,224.80712890625,9003400,0.0,0.0
2026-04-23,227.25,231.38999938964844,227.02999877929688,230.64999389648438,229.3311004638672,7097600,0.0,0.0
2026-04-24,229.02999877929688,229.99000549316406,227.02000427246094,227.5,226.19911193847656,6067500,0.0,0.0
2026-04-27,225.77000427246094,227.91000366210938,224.35000610351562,225.33999633789062,224.0514678955078,7897800,0.0,0.0
