date,open,high,low,close,adj_close,volume,dividends,stock_splits
2021-12-01,161.0,163.27000427246094,157.8000030517578,157.88999938964844,140.79409790039062,12253400,0.0,0.0
2021-12-02,159.8300018310547,163.25,158.8000030517578,161.2100067138672,143.7545928955078,12969900,0.0,0.0
2021-12-03,161.5,161.8300018310547,157.19000244140625,158.2899932861328,141.1508331298828,12681800,0.0,0.0
2021-12-06,161.00999450683594,162.61000061035156,159.4600067138672,160.16000366210938,142.81829833984375,11186500,0.0,0.0
2021-12-07,161.8800048828125,163.38999938964844,161.16000366210938,162.57000732421875,144.96737670898438,9851600,0.0,0.0
2021-12-08,162.66000366210938,163.27000427246094,160.1699981689453,160.7100067138672,143.3087615966797,11705700,0.0,0.0
2021-12-09,159.64999389648438,160.92999267578125,158.64999389648438,160.4600067138672,143.08587646484375,11189600,0.0,0.0
2021-12-10,161.32000732421875,161.6999969482422,159.1300048828125,159.82000732421875,142.51512145996094,10405400,0.0,0.0
2021-12-13,159.5,159.7899932861328,157.27999877929688,157.9199981689453,140.82083129882812,12069000,0.0,0.0
2021-12-14,157.4499969482422,160.88999938964844,157.3000030517578,159.1300048828125,141.89984130859375,12563600,0.0,0.0
2021-12-15,159.85000610351562,159.85000610351562,157.35000610351562,157.94000244140625,140.8386993408203,14014200,0.0,0.0
2021-12-16,160.38999938964844,161.82000732421875,158.6999969482422,160.41000366210938,143.041259765625,19542800,0.0,0.0
2021-12-17,159.32000732421875,159.3800048828125,155.17999267578125,156.75999450683594,139.7864532470703,28082000,0.0,0.0
2021-12-20,154.50999450683594,154.6999969482422,151.83999633789062,153.94000244140625,137.27182006835938,15148000,0.0,0.0
2021-12-21,155.41000366210938,157.17999267578125,155.08999633789062,156.08999633789062,139.18898010253906,11291300,0.0,0.0
2021-12-22,155.75,157.05999755859375,155.24000549316406,156.6999969482422,139.7329559326172,7273000,0.0,0.0
2021-12-23,157.61000061035156,159.1199951171875,157.2100067138672,157.25999450683594,140.23231506347656,8055200,0.0,0.0
2021-12-27,157.60000610351562,158.1999969482422,156.33999633789062,158.16000366210938,141.03488159179688,6188100,0.0,0.0
2021-12-28,158.1999969482422,160.14999389648438,158.0800018310547,158.63999938964844,141.462890625,6342300,0.0,0.0
2021-12-29,158.85000610351562,159.6300048828125,158.14999389648438,158.55999755859375,141.39154052734375,6398900,0.0,0.0
2021-12-30,159.11000061035156,160.24000549316406,158.3699951171875,158.47999572753906,141.32022094726562,6948200,0.0,0.0
2021-12-31,158.4499969482422,159.2899932861328,157.9600067138672,158.35000610351562,141.2042999267578,5805900,0.0,0.0
2022-01-03,159.86000061035156,162.63999938964844,159.50999450683594,161.6999969482422,144.1916046142578,13120900,0.0,0.0
2022-01-04,164.30999755859375,168.5800018310547,164.22999572753906,167.8300018310547,149.65785217285156,20195800,0.0,0.0
2022-01-05,167.82000732421875,168.36000061035156,163.72999572753906,163.77999877929688,146.92178344726562,17539400,1.0,0.0
2022-01-06,166.91000366210938,167.3699951171875,163.8699951171875,165.52000427246094,148.482666015625,14047500,0.0,0.0
2022-01-07,165.6699981689453,167.52999877929688,165.05999755859375,167.16000366210938,149.95387268066406,13913300,0.0,0.0
2022-01-10,169.07000732421875,169.30999755859375,165.52999877929688,167.32000732421875,150.09739685058594,12922500,0.0,0.0
2022-01-11,168.25999450683594,168.52000427246094,166.30999755859375,167.49000549316406,150.24993896484375,11854100,0.0,0.0
2022-01-12,168.4600067138672,169.58999633789062,167.17999267578125,168.44000244140625,151.10214233398438,12568000,0.0,0.0
2022-01-13,168.33999633789062,169.80999755859375,167.88999938964844,168.22999572753906,150.91372680664062,13623400,0.0,0.0
2022-01-14,160.75999450683594,161.02999877929688,156.89999389648438,157.88999938964844,141.63804626464844,40158400,0.0,0.0
2022-01-18,155.77999877929688,155.77999877929688,150.5399932861328,151.27000427246094,135.699462890625,32324800,0.0,0.0
2022-01-19,151.57000732421875,152.22999572753906,148.5500030517578,148.92999267578125,133.60032653808594,22380000,0.0,0.0
2022-01-20,148.99000549316406,150.61000061035156,147.36000061035156,147.66000366210938,132.46104431152344,14860800,0.0,0.0
2022-01-21,147.5,147.50999450683594,144.27000427246094,145.0800018310547,130.1466064453125,20705400,0.0,0.0
2022-01-24,142.27999877929688,145.47999572753906,139.57000732421875,144.9499969482422,130.03001403808594,28471400,0.0,0.0
2022-01-25,143.64999389648438,146.85000610351562,140.7899932861328,146.52999877929688,131.44735717773438,18915900,0.0,0.0
